"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"191","CM5",2015,143.971497573021,0.394442459104168,0.3911838079747,0.435938738730641,0.4308339454027,0.498738775388287,65.8267495483268,0.341538056770224,0.333900701151705,0.385284508026304,31.4215012228606,151,92,365
"192","CM5",2016,176.527063629805,0.482314381502199,0.473881854772662,0.486387133209815,0.476988693970178,0.524939276113157,73.9308442478919,0.398899061051789,0.386662223565911,0.503657962153403,36.6987136167646,152,92,366
"193","CM5",2017,154.01949998589,0.421971232838054,0.424478722746068,0.455587017215213,0.449147411986392,0.534768455311565,68.793639599497,0.364059682491713,0.36278325898148,0.397662469898489,33.4934907892375,151,92,365
"194","CM5",2018,157.820131686515,0.432383922428808,0.431811863650392,0.432981626270693,0.434401320625576,0.480353048160347,65.3802255668747,0.407224496511424,0.407756866068452,0.436811012387228,37.464653679051,151,92,365
"195","CM5",2019,150.593516275885,0.412584976098316,0.418677526691292,0.447781353948373,0.426256212199718,0.52952549108066,67.6149844462043,0.347907810887216,0.34355824461087,0.3685181567116,32.0075186016239,151,92,365
"196","CM5",2020,161.57670618638,0.441466410345301,0.423387244767746,0.421136681360579,0.418977116295813,0.458743026340002,64.0127755668081,0.389445142541973,0.395639842556504,0.426117660604281,35.8289531138615,152,92,366
"197","CM5",2021,186.810242099451,0.51180888246425,0.462675699764105,0.547214863186647,0.589176725143345,0.694103796943268,82.6294443411837,0.520758570113268,0.364771700236802,0.877487758479629,47.9097884504206,151,92,365
"198","CM5",2022,163.193265146406,0.447104836017549,0.416492637908309,0.423661342140818,0.424020570673036,0.469402085118024,63.9728626632635,0.381100272867057,0.369051336874124,0.487979592707969,35.0612251037692,151,92,365
"199","CM5",2023,159.658656462425,0.437420976609384,0.406512541758759,0.49313286727663,0.488815669845136,0.773347260915029,74.4630629587712,0.359818634393767,0.360188870920984,0.419096752500303,33.1033143642265,151,92,365
"200","CM5",2024,153.34569867258,0.421279391957637,0.420382658672957,0.429493786616474,0.439933840183529,0.465945073929897,65.2830555657041,0.381954886711079,0.367861139013774,0.420655184047507,35.1398495774193,152,92,364
